Date,Open*,High,Low,Close**,Volume,Market Cap
31-Dec-21,3713.43,3807.29,3636.87,3682.63,14157285268,438128003491
30-Dec-21,3632.22,3767.56,3595.20,3713.85,12925377999,441792512827
29-Dec-21,3797.44,3827.98,3612.80,3628.53,15722555672,431593692098
28-Dec-21,4037.54,4037.54,3769.28,3800.89,17299472803,452043198574
27-Dec-21,4064.75,4126.00,4033.49,4037.55,11424360002,480134213401
26-Dec-21,4094.15,4105.02,4013.03,4067.33,11197244172,483620188465
25-Dec-21,4049.78,4138.57,4027.93,4093.28,10894785525,486650526450
24-Dec-21,4111.34,4134.11,4029.06,4047.98,12769090623,481210199545
23-Dec-21,3981.96,4149.03,3897.23,4108.02,18007273742,488291028084
22-Dec-21,4018.70,4073.79,3947.69,3982.10,13921756199,473270048864
21-Dec-21,3938.46,4058.82,3918.84,4020.26,16388555198,477751386115
20-Dec-21,3923.70,3980.10,3759.40,3933.84,21589690675,467428565001
19-Dec-21,3960.87,4018.66,3894.40,3922.59,16167785597,466037604379
18-Dec-21,3880.29,3993.83,3774.62,3960.86,19530895889,470530555466
17-Dec-21,3959.01,3992.79,3711.42,3879.49,23143541098,460810766341
16-Dec-21,4020.41,4110.37,3956.06,3962.47,19825531254,470613962761
15-Dec-21,3862.25,4086.37,3664.72,4018.39,26411188833,477201243362
14-Dec-21,3782.82,3866.63,3700.10,3745.44,23836759957,444724220347
13-Dec-21,4136.36,4145.96,3680.61,3784.23,23999841386,449291443953
12-Dec-21,4084.81,4173.61,3993.06,4134.45,14057603914,490816832310
11-Dec-21,3909.67,4095.65,3846.05,4084.45,19131502454,484824810240
10-Dec-21,4113.59,4227.11,3897.77,3908.50,28014595631,463886245130
9-Dec-21,4433.03,4482.31,4078.84,4119.82,22296131874,488911369093
8-Dec-21,4311.67,4453.11,4234.54,4439.36,18704315119,526774233712
7-Dec-21,4358.59,4428.59,4264.32,4315.06,22366213354,511968714781
6-Dec-21,4199.00,4375.52,3930.81,4358.74,28229518513,517093472536
5-Dec-21,4119.63,4246.92,4040.22,4198.32,25533062707,498007875686
4-Dec-21,4227.76,4242.73,3525.49,4119.59,38478999182,488613645062
3-Dec-21,4514.36,4647.29,4100.15,4220.71,25879591528,500552313217
2-Dec-21,4586.33,4628.92,4441.51,4511.30,21502671027,534956208694
1-Dec-21,4623.68,4780.73,4530.27,4586.99,27634826695,543871223795
30-Nov-21,4447.77,4753.27,4358.07,4631.48,28626354111,549085770691
29-Nov-21,4296.95,4460.85,4284.50,4445.11,19086475837,526931291117
28-Nov-21,4101.65,4297.92,3989.97,4294.45,15953126340,509016708179
27-Nov-21,4043.00,4187.68,4033.51,4096.91,16515693874,485548014481
26-Nov-21,4522.21,4550.84,3933.51,4030.91,26281795488,477672051593
25-Nov-21,4271.39,4550.52,4249.77,4274.74,18705358318,506472632401
24-Nov-21,4340.04,4376.88,4176.18,4239.98,21838037128,502285105696
23-Nov-21,4089.68,4385.48,4069.77,4340.76,22133497059,514217959090
22-Nov-21,4266.51,4302.02,4033.57,4088.46,19752218877,484275218142
21-Nov-21,4412.20,4422.49,4255.46,4269.73,14094831413,505690293990
20-Nov-21,4298.35,4434.39,4209.24,4409.93,15448261277,522236291601
19-Nov-21,3995.73,4311.71,3982.92,4298.31,20626269711,508960524908
18-Nov-21,4287.80,4343.56,3959.23,4000.65,21383250893,473663292938
17-Nov-21,4213.91,4300.31,4107.13,4287.59,22183461850,507579384616
16-Nov-21,4570.48,4891.70,4144.33,4216.37,27417502801,499090512787
