Date,Open*,High,Low,Close**,Volume,Market Cap
2-Nov-21,4322.5,4599.95,4288.69,4584.8,20794448222,5.41847E+11
1-Nov-21,4288.22,4377.32,4160.97,4324.63,17985288261,5.11041E+11
31-Oct-21,4322.74,4394.45,4179.02,4288.07,17498160238,5.06664E+11
30-Oct-21,4414.24,4426.85,4252.49,4325.65,14615490626,5.11046E+11
29-Oct-21,4288.69,4455.74,4271.71,4414.75,22967641914,5.21513E+11
28-Oct-21,3924.82,4293.15,3905.71,4287.32,25958154575,5.06402E+11
27-Oct-21,4132.17,4299.15,3930.26,3930.26,26219530404,4.64175E+11
26-Oct-21,4217.34,4289.13,4106.82,4131.1,17157714562,4.8784E+11
25-Oct-21,4084.43,4236.67,4072.03,4217.88,15995727040,4.98031E+11
24-Oct-21,4171.86,4185.73,3967.12,4087.9,14978083638,4.82629E+11
23-Oct-21,3971.36,4171.66,3944.63,4171.66,14781537792,4.92462E+11
22-Oct-21,4055.69,4162.98,3908.34,3970.18,19432937968,4.68624E+11
21-Oct-21,4161.71,4366.09,4032.48,4054.32,28220661820,4.78501E+11
20-Oct-21,3877.73,4167.47,3833.29,4155.99,20338319988,4.90444E+11
19-Oct-21,3747.16,3883.93,3736.78,3877.65,15998757133,4.57546E+11
18-Oct-21,3847.73,3888.21,3686.75,3748.76,17386204158,4.42287E+11
17-Oct-21,3829.86,3914.9,3660.72,3847.1,15908090346,4.53839E+11
16-Oct-21,3865.67,3962.45,3805.89,3830.38,16578095629,4.51814E+11
15-Oct-21,3790.15,3895.47,3735.36,3862.63,20966841512,4.55567E+11
14-Oct-21,3604.96,3819.26,3590.28,3786.01,19443499909,4.46475E+11
13-Oct-21,3492.75,3607.74,3417.6,3606.2,16211275589,4.25219E+11
12-Oct-21,3546.48,3546.48,3407.34,3492.57,18109578443,4.11781E+11
11-Oct-21,3419.73,3622.29,3385.76,3545.35,18579189588,4.17957E+11
10-Oct-21,3575.02,3603.24,3414.97,3425.85,16171746693,4.03823E+11
9-Oct-21,3560,3628.24,3544.64,3575.72,12707036942,4.2144E+11
8-Oct-21,3587.83,3667.96,3547.83,3563.76,16222029488,4.19983E+11
7-Oct-21,3576.81,3650.01,3479.91,3587.97,19090322927,4.22789E+11
6-Oct-21,3516.57,3622.55,3354.47,3580.56,21855226591,4.21868E+11
5-Oct-21,3381.78,3541.45,3365.82,3518.52,16632591670,4.1451E+11
4-Oct-21,3418.78,3434.78,3283.45,3380.09,17747154101,3.98157E+11
3-Oct-21,3390.77,3484.61,3348.12,3418.36,15516566862,4.02619E+11
2-Oct-21,3308.87,3464.84,3260.03,3391.69,19202671704,3.99433E+11
1-Oct-21,3001.13,3329.85,2978.65,3307.52,22307625573,3.89475E+11
30-Sep-21,2852.56,3046.52,2840.29,3001.68,17661065099,3.53421E+11
29-Sep-21,2809.3,2946.88,2786.99,2853.14,15763456158,3.35894E+11
28-Sep-21,2928.96,2970.77,2793.36,2807.3,16895079070,3.30459E+11
27-Sep-21,3065.84,3163.67,2932.69,2934.14,19164053681,3.45351E+11
26-Sep-21,2926.34,3114.86,2744.58,3062.27,21172766310,3.6039E+11
25-Sep-21,2930.88,2968.99,2818.97,2925.57,18932786754,3.44263E+11
24-Sep-21,3154.56,3159.64,2747.34,2931.67,25595422789,3.44942E+11
23-Sep-21,3077.97,3173.54,3038.1,3155.52,18516291047,3.71238E+11
22-Sep-21,2763.21,3089.08,2741.44,3077.87,23742102645,3.62061E+11
21-Sep-21,2977.31,3101.7,2676.41,2764.43,30405062665,3.25153E+11
20-Sep-21,3329.67,3343.33,2940.84,2958.99,27371684581,3.47997E+11
19-Sep-21,3433.29,3448.32,3286.17,3329.45,14257609743,3.9152E+11
18-Sep-21,3397.42,3540.81,3371.89,3432.02,15995220233,4.03536E+11
17-Sep-21,3569.57,3589.31,3356.45,3398.54,17722363229,3.99553E+11
16-Sep-21,3613.07,3673.31,3489.81,3571.29,20093903064,4.19815E+11
15-Sep-21,3431.22,3615.28,3365.91,3615.28,17548551804,4.24937E+11
14-Sep-21,3286.32,3429.17,3273.63,3429.17,19125420848,4.03015E+11
13-Sep-21,3407.47,3426.5,3121.51,3285.51,22721552948,3.86088E+11
12-Sep-21,3270.29,3462.47,3235.11,3410.13,16810411424,4.00687E+11
11-Sep-21,3209.03,3346.53,3208.96,3270.28,18627122934,3.84209E+11
10-Sep-21,3425.56,3512.57,3157.06,3211.51,22355974097,3.77261E+11
9-Sep-21,3452.55,3562.99,3400.52,3427.34,24118055831,4.0257E+11
8-Sep-21,3428.38,3559.12,3224.76,3497.32,31738430771,4.10742E+11
7-Sep-21,3926.53,3945.31,3062.22,3426.39,39131346397,4.02366E+11
6-Sep-21,3951.52,3968.43,3868.99,3928.38,18674691198,4.61261E+11
5-Sep-21,3886.33,3979.19,3838.49,3952.13,18371468576,4.63997E+11
4-Sep-21,3937.91,3969.45,3837.93,3887.83,20806963328,4.56395E+11
3-Sep-21,3787.49,4022.47,3712.68,3940.61,26207765094,4.62538E+11
2-Sep-21,3825.03,3830.71,3726.75,3790.99,24387397330,4.44925E+11
1-Sep-21,3430.76,3836.87,3387.41,3834.83,30070890104,4.50017E+11
31-Aug-21,3227.76,3466.99,3195.22,3433.73,27280502987,4.02903E+11
30-Aug-21,3227.19,3346.58,3151.44,3224.37,19306924485,3.78294E+11
29-Aug-21,3246.77,3283.24,3158.84,3227,13296586731,3.78559E+11
28-Aug-21,3275.1,3284.85,3217.4,3244.4,13709633698,3.80556E+11
27-Aug-21,3096.41,3281.84,3064.49,3270.6,18489602004,3.83585E+11
26-Aug-21,3228.75,3249.66,3060.23,3100.33,17405668117,3.63573E+11
25-Aug-21,3174.27,3248.73,3086.11,3224.92,18902728235,3.7814E+11
24-Aug-21,3324.86,3358.69,3154.12,3172.46,20131028906,3.71946E+11
23-Aug-21,3241.36,3373.38,3235.85,3319.26,20511110509,3.89112E+11
22-Aug-21,3226.23,3272.73,3142.01,3242.12,15983278460,3.80025E+11
21-Aug-21,3286.93,3307.35,3209.87,3226.08,18113977628,3.78103E+11
20-Aug-21,3182.16,3298.25,3178.1,3286.94,20885619828,3.8519E+11
19-Aug-21,3019.13,3184.44,2963.15,3182.7,19546290360,3.72933E+11
18-Aug-21,3011.96,3124.98,2959.03,3020.09,21539248425,3.53837E+11
17-Aug-21,3149.38,3288.81,2996.47,3014.85,25509056745,3.53183E+11
16-Aug-21,3309.42,3333.99,3139.78,3156.51,23080039949,3.69735E+11
15-Aug-21,3266.28,3320.08,3117.79,3310.5,22166205051,3.87728E+11
14-Aug-21,3322.76,3329.28,3214.52,3265.44,19860862133,3.82407E+11
